invoice_number,vendor_id,vendor_name,company_code,invoice_date,due_date,payment_terms_days,amount,currency,amount_usd,status,payment_date,days_overdue,aging_bucket,days_to_pay
1900000001,V-014,Apex Legal Advisors,1000,2026-06-24,2026-07-24,30,745.73,USD,745.73,Overdue,,24,0-30 days,
1900000002,V-011,Mumbai Facility Services,3000,2026-06-04,2026-07-04,30,36788.03,INR,441.46,Paid,2026-06-30,0,Paid,26
1900000003,V-013,Continental Travel Agency,1000,2026-06-28,2026-07-28,30,31955.15,USD,31955.15,Paid,2026-07-15,0,Paid,17
1900000004,V-009,Berlin Software Partners,2000,2026-06-15,2026-07-15,30,32940.82,EUR,35576.09,Paid,2026-07-07,0,Paid,22
1900000005,V-008,Deutsche Energie AG,2000,2026-06-08,2026-07-08,30,34821.53,EUR,37607.25,Paid,2026-07-18,0,Paid,40
1900000006,V-002,Meridian IT Services,1000,2026-06-02,2026-08-01,60,3794.99,USD,3794.99,Overdue,,16,0-30 days,
1900000007,V-014,Apex Legal Advisors,1000,2026-06-01,2026-07-01,30,16451.72,USD,16451.72,Overdue,,47,31-60 days,
1900000008,V-003,Skyline Facilities Mgmt,1000,2026-07-14,2026-08-28,45,5656.17,USD,5656.17,Open,,0,Not yet due,
1900000009,V-014,Apex Legal Advisors,1000,2026-07-13,2026-08-12,30,38908.1,USD,38908.1,Paid,2026-07-18,0,Paid,5
1900000010,V-007,Bavaria Component Supply,2000,2026-07-09,2026-08-23,45,28236.77,EUR,30495.71,Paid,2026-08-17,0,Paid,39
1900000011,V-003,Skyline Facilities Mgmt,1000,2026-07-07,2026-08-21,45,15224.96,USD,15224.96,Paid,2026-07-19,0,Paid,12
1900000012,V-010,Ganges Business Solutions,3000,2026-07-24,2026-09-22,60,3328.35,INR,39.94,Paid,2026-08-17,0,Paid,24
1900000013,V-001,Global Office Supply Co.,1000,2026-08-17,2026-10-01,45,14338.71,USD,14338.71,Open,,0,Not yet due,
1900000014,V-014,Apex Legal Advisors,1000,2026-08-17,2026-09-16,30,14970.66,USD,14970.66,Paid,2026-08-17,0,Paid,0
1900000015,V-002,Meridian IT Services,1000,2026-08-17,2026-09-16,30,32967.47,USD,32967.47,Paid,2026-08-17,0,Paid,0
1900000016,V-011,Mumbai Facility Services,3000,2026-08-17,2026-09-16,30,28871.31,INR,346.46,Open,,0,Not yet due,
