invoice_number,customer_id,customer_name,company_code,invoice_date,due_date,payment_terms_days,amount,currency,amount_usd,status,payment_date
2900000001,C-010,Kolkata Trading House,3000,2026-06-20,2026-07-20,30,53345.55,INR,640.15,Overdue,
2900000002,C-007,Nordsee Import-Export,2000,2026-06-22,2026-08-21,60,28860.68,EUR,31169.53,Open,
2900000003,C-004,Union Square Traders,1000,2026-06-22,2026-08-21,60,8056.06,USD,8056.06,Paid,2026-08-16
2900000004,C-003,Liberty Manufacturing,1000,2026-06-22,2026-08-21,60,43081.44,USD,43081.44,Paid,2026-07-06
2900000005,C-008,Delhi Wholesale Corp,3000,2026-07-20,2026-08-19,30,45886.32,INR,550.64,Paid,2026-08-07
2900000006,C-009,Chennai Retail Partners,3000,2026-07-09,2026-08-23,45,34115.35,INR,409.38,Open,
2900000007,C-002,Cascade Distributors,1000,2026-07-29,2026-09-12,45,46487.06,USD,46487.06,Open,
2900000008,C-008,Delhi Wholesale Corp,3000,2026-08-17,2026-10-16,60,30133.94,INR,361.61,Open,
2900000009,C-013,Hamburg Maschinenbau,2000,2026-08-17,2026-09-16,30,31841.24,EUR,34388.54,Open,
2900000010,C-009,Chennai Retail Partners,3000,2026-08-10,2026-09-09,30,26224.92,INR,314.7,Open,
2900000011,C-003,Liberty Manufacturing,1000,2026-08-09,2026-09-08,30,2499.73,USD,2499.73,Open,
